# The Voronoi cells of the 512 games (games.csv) on the unit disk, as every sunflower map draws them: the Voronoi
# diagram of the 512 disk points, their 512 inversions in the unit circle and 32 far points on the circle of radius 3,
# each cell of a real point clipped to the unit circle by Sutherland-Hodgman against a circumscribed 64-gon, the cut
# vertices pushed back onto the circle (DiskM2WF/Opt/vor.py, cells(); common.games.compute_cells).  The cells tile
# the disk up to the 64-gon (total area 99.94% of pi).
# Columns:
#   ipt   the cell (games.csv); rows of one cell are consecutive, cells in ipt order
#   k     the vertex, 0..n-1, in the polygon's cyclic order (as scipy's Voronoi gave it; the orientation varies)
#   x, y  the vertex on the unit disk, float64 written round-trip exact
ipt,k,x,y
47,5,-0.20193345250021746,0.23713399911500307
48,0,-0.10327220879014928,-0.26347108770690414
48,1,-0.04678050372170245,-0.25403021120659663
48,2,-0.012599182306069504,-0.3140268955645924
48,3,-0.07684590592267349,-0.34898917377694477
48,4,-0.09850798961393469,-0.33558059962296205
48,5,-0.1099910221330031,-0.2725906216699778
49,0,0.29465506058912355,0.20749152776065233
49,1,0.22398043746132607,0.2246074749640419
49,2,0.2081365297004666,0.1580102224360529
49,3,0.258472551456721,0.1262254728521393
49,4,0.2671809701577119,0.12798755468848777
49,5,0.30166888413473986,0.18183138725182724
50,0,-0.36048766962275414,0.046021801492580776
50,1,-0.3197885707521544,-0.013385474958339843
50,2,-0.26323459950581723,0.023952162327590842
50,3,-0.27987245245279097,0.08328060514684724
50,4,-0.28571985756554075,0.08677454548940035
50,5,-0.34782103568124645,0.07060537909808955
51,0,0.1522413230729678,-0.2544432751510007
51,1,0.18022109431325628,-0.19738932762254957
51,2,0.24643241586260187,-0.2085525403623851
51,3,0.23690968772142634,-0.2794797573613942
51,4,0.20972966377588537,-0.28929543316943185
51,5,0.15360770498780157,-0.2589072855475994
52,0,0.04152043176649458,0.35745049022645975
52,1,0.013782157448078973,0.3691508593007678
52,2,-0.04029449146463954,0.3231983122732436
52,3,0.00012222254646177162,0.27010208591161794
52,4,0.060879448961302235,0.2945826465895648
52,5,0.06194970023623142,0.29685049669261193
53,0,-0.274304637264927,-0.2367248733936836
53,1,-0.2613124178427535,-0.26537469512072925
53,2,-0.1909728140246852,-0.26731435466477366
53,3,-0.18421046762336357,-0.2013760215728662
53,4,-0.24756418806197572,-0.17831484686878302
53,5,-0.24801469055389944,-0.1785015187238354
54,0,0.30667254658853765,-0.03555787271049124
54,1,0.2745795702546258,0.024665646630120053
54,2,0.32423283262415026,0.06807863720133558
54,3,0.3747506173746028,0.019546743646578716
54,4,0.36451547224339675,-0.011159631623207017
55,0,-0.20499269364128953,0.23559880771538022
55,1,-0.26265061451009897,0.25656826281682765
55,2,-0.29209984243587844,0.24032956770280972
55,3,-0.28695803745618526,0.17087868019177677
55,4,-0.221540967329305,0.1688824465582523
56,0,0.02025529953373373,-0.3690869717537425
56,1,-0.007273571639150385,-0.3155488377150481
56,2,0.05009829627270998,-0.2765713996465502
56,3,0.09622716615611006,-0.32257792105055405
56,4,0.053858880659527826,-0.377313768434297
57,0,0.2362053323248454,0.28738340517862027
57,1,0.22034360166624162,0.23061535809696676
57,2,0.15113467143388937,0.24020799035307477
57,3,0.14873515051863673,0.3049628400032219
57,4,0.21665033076555448,0.31700749288213204
58,0,-0.37662852600496965,-0.08854056269545482
58,1,-0.370622287162884,-0.052248228772732164
58,2,-0.3215888116007752,-0.022163763276215137
58,3,-0.2761516094794038,-0.07598851771595666
58,4,-0.31841377825835493,-0.12486110835062601
59,0,0.3400908660109082,-0.1902604645462531
59,1,0.31031383493119946,-0.21340372462657403
59,2,0.2551190025653219,-0.2023189538317386
59,3,0.25722211675469125,-0.13141179728200747
59,4,0.32130038960840174,-0.12439719822212134
60,0,-0.15349094325754034,0.311430122407975
60,1,-0.10203350850515099,0.272896559432757
60,2,-0.05264001089232131,0.3247380339356633
60,3,-0.08485744438398246,0.3692771242175856
60,4,-0.123541122977733,0.37248978123459103
61,0,-0.1099910221330031,-0.2725906216699778
61,1,-0.18189440678528135,-0.2780591582978438
61,2,-0.18831862169402674,-0.33161164281151884
61,3,-0.16151966112946226,-0.3608645689444554
61,4,-0.09850798961393469,-0.33558059962296205
62,0,0.30166888413473986,0.18183138725182724
62,1,0.2671809701577119,0.12798755468848777
62,2,0.3249517604293868,0.08354997657019736
62,3,0.3650119594368631,0.11752559432553811
62,4,0.36525929833083487,0.1582369302077602
63,0,-0.34782103568124645,0.07060537909808955
63,1,-0.28571985756554075,0.08677454548940035
63,2,-0.29920541070740453,0.15874901223434237
63,3,-0.3505065419811566,0.161043406757501
63,4,-0.37908473865021924,0.13063384035595135
64,0,0.15360770498780157,-0.2589072855475994
64,1,0.20972966377588537,-0.28929543316943185
64,2,0.19273576673261114,-0.35458437099654544
