# Memory one: one row per (game, strategy) at which the strategy is a strict Nash equilibrium among the 16 at eps = 1e-4.
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Columns:
#   ipt          the game (data/games/games.csv)
#   s            the strategy 0..15 (bit j = 1: cooperate after outcome j = CC, CD, DC, DD)
#   strategy     its answers after CC, CD, DC, DD (ALLD DDDD, Grim CDDD, WSLS CDDC, ALLC CCCC)
#   efficient    1 if it is efficient in the limit eps -> 0 at this game
#   c_F2, c_F1   the number of sampled individual-generations on s in the run (share = c / ntot of m1_games.csv)
ipt,s,strategy,efficient,c_F2,c_F1
150,14,DCCC,0,359216,31675134
150,15,CCCC,1,24541799145,17618522633
152,0,DDDD,0,21396352276,305428991
152,1,CDDD,0,21029330321,188662718
152,9,CDDC,1,1859162491,46822279760
153,15,CCCC,1,24917472637,40392142940
155,0,DDDD,0,21779727082,1880903816
155,1,CDDD,0,23201105883,46662992285
155,6,DCCD,0,369614,31615542
155,8,DDDC,0,366681,31618362
155,9,CDDC,1,414787,31748015
155,14,DCCC,0,344384,31436091
155,15,CCCC,1,2553076183,31805891
156,15,CCCC,0,1046646390,3005850784
157,0,DDDD,0,19215313202,4153467396
157,1,CDDD,0,18822777458,2207430689
158,0,DDDD,0,319137,31382960
158,8,DDDC,0,317544,31358933
158,9,CDDC,1,334416,31622787
158,14,DCCC,0,344210,31588522
158,15,CCCC,1,24581237978,26367103636
160,0,DDDD,0,24563440667,14814019530
160,1,CDDD,0,25407870339,33892371705
160,9,CDDC,1,376138,31838791
161,15,CCCC,1,26114592097,26377534138
162,0,DDDD,0,11909746575,10798628721
163,0,DDDD,0,325315,31404134
163,1,CDDD,0,343715,31604073
163,6,DCCD,0,369342,31889846
163,8,DDDC,0,327033,31389061
163,9,CDDC,1,4999193117,31799634
163,14,DCCC,0,367513,31876863
163,15,CCCC,1,22177766033,25893613181
165,0,DDDD,0,19775360277,5155472687
165,1,CDDD,0,19502706003,772786593
166,9,CDDC,1,333351,31622484
166,15,CCCC,1,24571482435,26175215256
168,0,DDDD,0,24583989558,10855045552
168,1,CDDD,0,25394601848,37842893585
168,8,DDDC,0,352497,31684612
168,9,CDDC,1,378311,31752228
168,14,DCCC,0,320146,31456135
168,15,CCCC,1,333791,31741468
169,15,CCCC,0,554200878,3510146316
170,0,DDDD,0,15074184026,8033745846
170,1,CDDD,0,14429121368,1105459059
171,0,DDDD,0,320012,31392994
171,1,CDDD,0,329160,31488312
171,8,DDDC,0,318175,31360900
171,9,CDDC,1,335105,31637291
171,14,DCCC,0,342824,31624143
171,15,CCCC,1,25731002526,29864711673
173,0,DDDD,0,25221026346,15031974723
173,1,CDDD,0,24556906170,33600711384
173,9,CDDC,1,111022756,31955310
174,15,CCCC,1,25499070652,28626901570
176,0,DDDD,0,9639761611,14097043642
176,1,CDDD,0,10352779807,34293436989
176,6,DCCD,0,379837,31684446
176,8,DDDC,0,351779,31608225
176,9,CDDC,1,4999231209,31772284
176,14,DCCC,0,366472,31451420
176,15,CCCC,1,12571867501,31828392
177,15,CCCC,0,298294740,880524600
178,0,DDDD,0,20735254908,2967782738
178,1,CDDD,0,20093114917,2051338850
179,8,DDDC,0,317824,31358687
179,9,CDDC,1,329407,31614819
179,15,CCCC,1,25143030061,26761971200
181,0,DDDD,0,24865571700,14628312418
181,1,CDDD,0,25111838658,34087907896
181,8,DDDC,0,344628,31679086
