# Memory two: one row per (game, strategy) at which the strategy is a strict Nash equilibrium at eps = 1e-4 (65547 rows).
# Rows ordered by ipt, then s. F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Strategy code s = 0..65535: bit k of s (k = 0..15) is 1 if the strategy intends C in state k = 4 x (the most recent outcome) + (the outcome before), outcomes 0 CC, 1 CD, 2 DC, 3 DD from the focal player's side (MapBinM2's exactcoef.py); ALLD 0, ALLC 65535, the memory-one strategy with answers b_j embeds as 15 x sum_j b_j 16^j.
# Columns:
#   ipt                the game (data/games/games.csv)
#   s                  the strategy
#   efficient          1 if efficient in the limit eps -> 0 at this game (SI Figure 7)
#   mutual_cooperator  1 if its self-play in the limit is all CC (one of the 7639)
#   alternator         1 if its self-play in the limit alternates CD, DC perfectly (one of the 3072); 0 in every row
#   float64_strict     1 if the double-precision brute-force scan also found it strict (0 in the 160 rows of m2_float64_check.csv)
#   pi_F2, pi_F1       its time-averaged abundance in the run, normalised so that the 65536 abundances sum to 1
ipt,s,efficient,mutual_cooperator,alternator,float64_strict,pi_F2,pi_F1
4,36870,0,0,0,1,3.560000070687625e-09,3.0664000406996276e-07
4,36872,0,0,0,1,3.999999884823408e-09,3.143200047057779e-07
4,36873,1,1,0,1,2.5520000322105662e-08,1.0683600067354347e-06
4,36878,0,0,0,1,5.079999973629815e-09,3.227600018517986e-07
4,36879,1,1,0,1,0.000575669284149435,1.24736004642356e-06
4,37145,1,1,0,1,0.00016992217561373935,5.742199960244251e-07
4,37151,1,1,0,1,3.938000146178789e-08,8.474619790329443e-06
4,39048,0,0,0,1,4.4799999242929225e-09,3.7725999392927027e-07
4,39049,1,1,0,1,3.743999952590842e-08,1.1583599644484021e-06
4,39321,1,1,0,1,6.351999811770502e-08,6.797200171931026e-07
4,40953,1,1,0,1,1.6199999555739265e-08,5.4430000775825e-07
4,57359,1,1,0,1,0.00011497135704780658,3.3314399844821724e-06
4,57631,1,1,0,1,3.119999901280474e-08,0.0002062660059990775
4,59257,1,1,0,1,0.002067583844869261,5.295199798892843e-07
4,61433,1,1,0,1,2.6620000412556634e-08,5.407799790451252e-07
4,61440,0,0,0,1,4.799999950605932e-09,3.1464000473227023e-07
4,61446,0,0,0,1,3.0400000279289848e-09,3.1429999582233795e-07
4,61448,0,0,0,1,7.999999769646816e-09,3.770799992434389e-07
4,61449,1,1,0,1,3.671999946670415e-08,3.3888600229866645e-06
4,61454,0,0,0,1,5.039999970340689e-09,3.721399935053935e-07
4,61455,1,1,0,1,1.9299999810646543e-08,3.0575199618047654e-06
4,61721,1,1,0,1,1.5199999473511108e-08,1.0646999726816492e-06
4,61727,1,1,0,1,0.00031389386260636344,2.6064939448931336e-05
4,62025,1,1,0,1,5.948000133821695e-08,2.6195600641025772e-06
4,62297,1,1,0,1,5.0440000594874435e-08,5.32940021028628e-07
4,62505,1,1,0,1,4.114000160650944e-08,1.7042400487208019e-06
4,62777,1,1,0,1,4.697999853400818e-08,8.037400221314534e-07
4,63081,1,1,0,1,1.1300000040999727e-08,1.5718400164433314e-06
4,63353,1,1,0,1,5.321693967746693e-05,5.352400194426846e-07
4,63624,0,0,0,1,5.159999980208067e-09,3.966000008594691e-07
4,63625,1,1,0,1,1.0977999659250892e-07,3.4942599997381418e-06
4,63631,1,1,0,1,4.202000167887021e-08,5.289240107485514e-06
4,63897,1,1,0,1,2.2480000072132075e-08,1.009080051565728e-06
4,63903,1,1,0,1,0.00011867874121268101,4.5858199884990714e-05
4,64201,1,1,0,1,9.261999873418747e-08,3.5456200750444295e-06
4,64473,1,1,0,1,8.028000304856257e-08,5.95199992432256e-07
4,64681,1,1,0,1,3.1599999045696006e-08,1.4920000240443578e-06
4,64953,1,1,0,1,8.859999840363029e-09,6.708199862582193e-07
4,65257,1,1,0,1,1.6319999565606644e-08,1.1451800219770264e-06
4,65529,1,1,0,1,4.099999893046224e-09,5.437599952790464e-07
4,65535,1,1,0,0,0.0007776239650066159,0.0007913981099062043
5,0,0,0,0,1,9.07999984502557e-09,4.0463999174347954e-07
5,32777,1,1,0,1,0.0026480737089540824,0.00608440815887039
5,32783,1,1,0,1,4.64999984257737e-08,0.012714358074803837
5,36864,0,0,0,1,0.00038121885078494364,3.7468001406723447e-07
