# Memory one: the strict Nash equilibria among the 16 binary memory-one strategies at eps = 1e-4, at each of the
# 512 games (data/games), and the share of the population on them (SI Figures 6a-c and 7a-c). One row per game,
# in ipt order. Strategy s = 0..15: bit j of s is 1 if s cooperates after outcome j = 0 CC, 1 CD, 2 DC, 3 DD
# (own action first); ALLD 0, Grim 1, TFT 5, WSLS 9, ALLC 15. A mask is sum over the strategies s in the set of 2^s.
# F2 = the run at N = 100, beta = 3, mu = 1e-4; F1 = the run at N = 1000, beta = 100, mu = 1e-2; both eps = 1e-4 (the runs' names in the kits).
# Made by provenance/strict/reduce_strict.py from FinalFigures/strictne.py (exact rational arithmetic).
# Columns:
#   ipt, u, v          the game, (R, S, T, P) = (1, u, 1 + v, 0), as in data/games/games.csv
#   n_strict           number of strict Nash equilibria among the 16 at eps = 1/10000 (SI Figure 6a)
#   n_weak             number of weak (non-strict inequality) equilibria; equal to n_strict at every game
#   strict_mask        the strict equilibria, as a mask
#   n_eff_strict       number of them that are efficient in the limit eps -> 0 (SI Figure 7a)
#   eff_strict_mask    those, as a mask
#   eff_mask           the strategies efficient in the limit at this game (CCCC, CDDC, CCCD below the switch line)
#   nash_limit_mask    the strategies stable in the limit eps -> 0, ties admitted (DiskM1WF's exact classification)
#   ntot_F2, ntot_F1   the number of sampled individual-generations of the run (the denominator of a share)
#   share_F2, share_F1         the share of the population on the strict equilibria (SI Figure 6b, 6c)
#   share_eff_F2, share_eff_F1 the same for the efficient strict equilibria (SI Figure 7b, 7c)
# Each share equals sum of c_F2 (c_F1) over the game's rows of m1_sets.csv, divided by ntot_F2 (ntot_F1), exactly.
ipt,u,v,n_strict,n_weak,strict_mask,n_eff_strict,eff_strict_mask,eff_mask,nash_limit_mask,ntot_F2,ntot_F1,share_F2,share_F1,share_eff_F2,share_eff_F1
101,1.916015625,-0.4853515625,1,1,32768,0,0,0,32896,50000000000,50000000000,0.00729839426,0.093207743,0.0,0.0
102,-1.091796875,1.662109375,2,2,3,0,0,33408,3,50000000000,50000000000,0.74228243826,0.1608680676,0.0,0.0
103,-0.3193359375,-1.9755859375,5,5,49921,2,33280,33408,50049,50000000000,50000000000,0.50441467378,0.52539908626,0.50439403058,0.5235111961
104,1.5791015625,1.248046875,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
105,-2.01953125,0.1474609375,3,3,515,1,512,33408,515,50000000000,50000000000,0.99931611292,0.9673353987,0.99359724812,0.9644414668
106,1.3974609375,-1.4814453125,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.50129165018,0.7977947772,0.50129165018,0.7977947772
107,-0.0302734375,2.048828125,1,1,1,0,0,0,1,50000000000,50000000000,0.3166715701,0.09984698562,0.0,0.0
108,-1.3701171875,-1.5400390625,7,7,49987,2,33280,33408,50115,50000000000,50000000000,0.59325393836,0.35853283104,0.49324161456,0.35534896998
109,2.0625,0.2119140625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
110,-1.6728515625,1.244140625,2,2,3,0,0,33408,3,50000000000,50000000000,0.78675226054,0.12476387002,0.0,0.0
111,0.3955078125,-2.0595703125,3,3,33536,2,33280,33408,33664,50000000000,50000000000,0.49273952116,0.52201592352,0.49273311546,0.52138882832
112,1.10546875,1.7958984375,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
113,-2.0400390625,-0.5810546875,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.99944634564,0.9761374235,1.556562e-05,0.0012726131
114,1.9072265625,-0.955078125,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.45235015712,0.51775390388,0.45235015712,0.51775390388
115,-0.765625,2.00390625,2,2,3,0,0,0,3,50000000000,50000000000,0.59896422454,0.190361295,0.0,0.0
116,-0.7939453125,-2.005859375,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.49976433486,0.60312054878,0.49973678376,0.60060213732
117,1.951171875,0.9482421875,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
118,-2.08984375,0.6220703125,3,3,515,1,512,33408,515,50000000000,50000000000,0.89909571982,0.96734051202,0.31307640524,0.962971818
119,1.126953125,-1.880859375,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.50524460462,0.80385231678,0.50524460462,0.80385231678
120,0.44140625,2.16015625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
121,-1.794921875,-1.3017578125,7,7,49987,2,33280,33408,50115,50000000000,50000000000,0.79459428136,0.97366404264,0.39473014308,0.0012848178
122,2.2138671875,-0.25390625,1,1,32768,0,0,0,32896,50000000000,50000000000,0.00831029526,0.03530005464,0.0,0.0
123,-1.46875,1.6923828125,2,2,3,0,0,33408,3,50000000000,50000000000,0.79690970566,0.1415432886,0.0,0.0
124,-0.060546875,-2.251953125,5,5,49921,2,33280,33408,50049,50000000000,50000000000,0.51344715098,0.51607015312,0.51342706938,0.51418407096
125,1.5732421875,1.6279296875,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
126,-2.2724609375,-0.138671875,5,5,33539,2,33280,33408,33667,50000000000,50000000000,0.99937492314,0.9756663057,0.06649918046,0.00127168736
127,1.7783203125,-1.4404296875,1,1,32768,1,32768,33408,32896,50000000000,50000000000,0.51568623292,0.52474419692,0.51568623292,0.52474419692
128,-0.33984375,2.2744140625,1,1,1,0,0,0,1,50000000000,50000000000,0.2653858915,0.21177631638,0.0,0.0
129,-1.29296875,-1.9169921875,7,7,49987,2,33280,33408,50115,50000000000,50000000000,0.54464556474,0.35369281696,0.54460989284,0.35053078996
130,2.259765625,0.54296875,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
131,-2.0439453125,1.130859375,2,2,3,0,0,33408,3,50000000000,50000000000,0.69609250274,0.13259566646,0.0,0.0
132,0.74609375,-2.2255859375,2,2,33280,2,33280,33408,33408,50000000000,50000000000,0.50079581026,0.51994163582,0.50079581026,0.51994163582
133,0.9580078125,2.15625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
134,-2.173828125,-0.947265625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.99960416772,0.97580938264,0.19996547198,0.00127106264
135,2.25390625,-0.7734375,1,1,32768,0,0,0,32896,50000000000,50000000000,0.00622659516,0.08738742718,0.0,0.0
136,-1.1455078125,2.103515625,2,2,3,0,0,33408,3,50000000000,50000000000,0.66076474958,0.14220487782,0.0,0.0
137,-0.5791015625,-2.3369140625,6,6,49923,2,33280,33408,50051,50000000000,50000000000,0.50212571152,0.595744628,0.50209907726,0.5932273524
138,2.015625,1.337890625,0,0,0,0,0,0,0,50000000000,50000000000,0.0,0.0,0.0,0.0
139,-2.4013671875,0.376953125,3,3,515,1,512,33408,515,50000000000,50000000000,0.99188506012,0.97015102968,0.35248821628,0.00064107154
