# replicates_dw4_e4.csv -- memory-two Wright-Fisher run dw4_e4 (parameters: runs.csv), one row per (game, replicate),
# 5120 rows, ipt order 0..511, replicates 1..10 within a game.
# Reduced by provenance/robustness/reduce.py from the packed files dw4_e4.{idx,win} and atoms512.bin.
# Columns:
#   ipt      the game (data/games/games.csv)
#   rep      the replicate, 1..10
#   seed     the replicate's seed: seed_base + (isl - 1)*10 + rep, seed_base = 11000000 (runs.csv), isl from games_dw4_e4.csv
#   top          the replicate's most abundant strategy over its sampled half (the .win 'rank1'): its integer code
#                0..65535 of the Methods (the genome read as a binary number; ALLD = 0, ALLC = 65535)
#   top_atom     its atom at this game as the integer code 4*efficient + 2*stable + competitive (0..7; 101 = 5 never
#                occurs); e.g. 7 = 111 (a friendly rival), 6 = 110, 4 = 100
#   top_share    its share of the replicate's sampled population (the .win 'abund')
#   top_selfpay  its per-round payoff against itself at this game (the .win 'selfpay')
ipt,rep,seed,top,top_atom,top_share,top_selfpay
33,4,11014664,53247,7,0.0322455,0.9999962
33,5,11014665,30399,7,0.02137985,0.9999904
33,6,11014666,46079,7,0.02927102,0.9999924
33,7,11014667,51199,7,0.03498234,0.9999962
33,8,11014668,48639,7,0.02571616,0.9999962
33,9,11014669,50943,7,0.02741703,0.9999923
33,10,11014670,62399,7,0.03153487,0.9999924
34,1,11014691,32809,6,0.09081888,0.999459
34,2,11014692,36937,6,0.07328204,0.999506
34,3,11014693,36937,6,0.07111136,0.999506
34,4,11014694,32843,6,0.06600382,0.999506
34,5,11014695,32779,6,0.0788432,0.999506
34,6,11014696,32781,6,0.07527529,0.999506
34,7,11014697,32907,6,0.14171587,0.999506
34,8,11014698,32777,6,0.06489981,0.999506
34,9,11014699,37069,6,0.0591517,0.999506
34,10,11014700,36939,6,0.09583786,0.999506
35,1,11014721,48095,7,0.03503901,0.9997919
35,2,11014722,32735,7,0.02704772,0.9997919
35,3,11014723,59103,7,0.02256273,0.9993761
35,4,11014724,52183,7,0.01938533,0.9997585
35,5,11014725,53215,7,0.02393394,0.9997919
35,6,11014726,65247,7,0.02746181,0.9993761
35,7,11014727,44767,7,0.0169751,0.9993761
35,8,11014728,50911,7,0.03037573,0.999376
35,9,11014729,12255,7,0.02482696,0.9997419
35,10,11014730,52063,7,0.01808339,0.9997918
36,1,11014751,56202,6,0.08528343,1.2779536
36,2,11014752,52675,6,0.17795298,1.2779203
