# The 27598 polygons of the memory-two arrangement drawn in Figures 1c, 2h-n and 3e-h (they draw its 22872 faces, the
# cells of m2_cells.csv), in the order of m2_faces_k4.npz, with the counts over the 65536 binary memory-two
# strategies on each.  The columns call a polygon a face, as the companion drawing does.
# Conventions: a game is (R, S, T, P) = (1, u, 1 + v, 0); the limit eps -> 0.  An atom is written
# efficient-stable-competitive; A_xyz is the number of strategies in atom xyz, in the order 000 100 010 001 110 011
# 111 (the atom 101 is empty everywhere, so the seven add up to the number of strategies).
# face: index 0..27597.  cell: the cell of m2_cells.csv the face lies in (a cell is one face, or, for 771 cells,
# several bands of it: the companion work cut them for a field it draws; every count below is constant on a cell).
# u, v: a game strictly inside the face (a convex combination of its vertices mapped to the plane, with the weights
# 1 + 0.1 sin(j + 1) of fig1.py; repr of a double).  quadrant: PD (u < 0 < v), SD (u, v > 0), SH (u, v < 0), HA
# (v < 0 < u).  wedge: W (u+v < 1, u-v < 1), S (u+v < 1, u-v > 1), N (u+v > 1, u-v < 1), E (u+v > 1, u-v > 1).
# nash: the number of stable strategies on the face (299 to 22069).  partners: efficient and stable (8 to 7639).
# A_000 ... A_111: the atoms.  case: the case number of Figure 1 (cases.csv), the set of non-empty atoms.
face,cell,u,v,quadrant,wedge,nash,partners,A_000,A_100,A_010,A_001,A_110,A_011,A_111,case
175,175,3.0864523477629833,0.2185230249540764,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
176,176,3.4260487401693522,0.1784778309217991,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
177,177,3.145011852658534,0.1887372277198628,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
178,178,3.067154623527388,0.17079233536177255,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
179,179,2.8559671060921965,0.2592325066070103,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
180,180,2.596243268991061,0.27626947284606174,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
181,181,2.438119923488776,0.31103218120299786,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
182,182,2.8814449160134825,0.23586397722366512,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
183,183,2.6491196974723654,0.2444762453992179,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
184,184,2.8939622658679327,0.20611462174554682,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
185,185,2.65394326379438,0.22586098584701553,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
186,186,2.5453701293344,0.23169156787334308,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
187,187,2.9064639767063367,0.17887974425009237,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
188,188,2.7169863265406518,0.19319563913569887,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
189,189,2.639236249468637,0.19218919332886675,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
190,190,2.448849142790435,0.2709743533698522,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
191,191,2.409550234223584,0.2647303435359376,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
192,192,2.279467414740926,0.3381940440464928,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
193,193,2.362214701759313,0.30818472737211194,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
194,194,2.1817577490661293,0.3449779633011143,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
195,195,2.2845404249422083,0.3038857639677895,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
196,196,2.418412729479671,0.2533784813277828,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
197,197,2.4642135685396473,0.23930506224388634,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
198,198,2.5418696631605955,0.19801535010566487,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
199,199,2.332681392691345,0.263580239701784,SD,E,1088,1088,59904,1984,0,2560,1008,0,80,6
200,200,2.1039477380015046,0.34320200938431517,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
201,201,2.212898727426606,0.29705008888770024,SD,E,1216,1216,59904,1856,0,2560,1136,0,80,6
