# The memory-one Wright-Fisher run m1_N100 whole: N = 100, beta = 3, mu = 1e-4, eps = 1e-4, 10 replicates of 1e8
# generations per game; per game the number of individual-generations, over the sampled second halves of the ten
# replicates, in which each of the 16 strategies was held (DiskM1WF/Data/mw2_e4.tsv, the Cannon kit mw).
# c_k / ntot is the pooled abundance pi(k); with m1_strategy_atoms.csv it gives the atom and property shares, the
# most abundant and most enriched atom, neff, maxpi and top of m1_N100.csv, bit for bit.
# 
# Columns: ipt (the game), ntot (the total, 10 x N x generations/2), c0..c15 (the count of strategy k; k as in
# m1_strategy_atoms.csv)
ipt,ntot,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
121,50000000000,7586425690,7406821062,391439,475795,2779537,5998296,416789,10254230363,4999126990,9997936971,349646,548512,1116724,4395620,416383,9738570183
122,50000000000,457810,523096,459569,761438,824828164,80658239,10428168,279930505,597628,1678100,598499,69140671,4574178703,43723595045,16649602,415514763
123,50000000000,20200656413,19644828870,1225928178,184527026,1897812726,2499432889,23308660,174265002,884426172,1389370813,185080182,217802221,665850142,464554470,185675214,156481022
124,50000000000,323188,336837,322061,380808,363479,6808054,363059,24310069911,319217,348341,320095,467742,360841,7849564,361675,25671005128
125,50000000000,5787987,4791549,35241723652,21191479,452829,462865,662649,1748520,2601355,2851977,14201332810,372611128,636272,722224,70432051,71990653
126,50000000000,22970668213,23672710343,422881,423274,9257779,17980464,351779,575986,408578,3324616910,326395,344844,365850,881200,323391,342113
127,50000000000,339697,390018,339614,505968,465995,11201441,468595,24180319741,334776,438631,336380,717184,481771,18867328,481215,25784311646
128,50000000000,13269294575,12302128333,1979678591,156570252,2489994086,8234126313,3362506,24267297,372507331,367354261,156728353,59076252,6610123426,3690399120,254321926,30067378
129,50000000000,328815,350559,327045,412603,386604,5656764,386182,22752748226,330700,4999125190,326850,537411,388871,6937389,387339,22231369452
130,50000000000,10042814,3367240,16949452,16932352,2492135,1027814,7108307,11870362,12568230,1749123,21675828,49869628759,2590300,1034505,8830325,12132454
131,50000000000,17887360273,16917264864,328907972,4226020623,1878739814,5409652267,22767149,152336642,790324158,1680074739,107689491,191035186,131827318,87645028,69925521,118428955
132,50000000000,322225,337133,322070,384577,364360,7636272,364162,24939630171,320001,348576,319542,471750,362663,9012285,362276,25039441937
133,50000000000,24555015,23899901,49912814222,7581701,381863,380603,496986,889232,6174860,8618170,3328836,3510079,634111,637196,2932639,3164586
134,50000000000,19516961323,20464243966,417702,419711,6589864,8892533,349529,366069,406521,9997930150,328783,351816,367345,1708262,322977,343449
135,50000000000,391176,451928,391378,657810,85308521,34420201,10005624,313304786,517697,3621671,518485,31432619,262637597,48929402793,15607956,311329758
136,50000000000,16952944324,16085293155,1690279238,215376394,2703998654,4986125293,15615045,99020516,993115685,817025988,223895784,127048885,3545921967,1230547973,219694082,94097017
137,50000000000,321400,333677,322548,375968,359553,6453371,358498,24877483089,319499,345564,318541,455199,357649,7230008,357137,25104608299
